practice_id,practice_title,subject,module,source_question_no,answer_type,correct_answer,answer_form,canonical_key,answer_source,answer_source_sha256,practice_target_exists,match_status
2026-01-21-a,2026-01-21 A卷,reading,m1,1,fill,they,word_or_missing_letters,2026-01-21-a:reading:m1:q1,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,2,fill,change,word_or_missing_letters,2026-01-21-a:reading:m1:q2,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,3,fill,through,word_or_missing_letters,2026-01-21-a:reading:m1:q3,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,4,fill,like,word_or_missing_letters,2026-01-21-a:reading:m1:q4,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,5,fill,and,word_or_missing_letters,2026-01-21-a:reading:m1:q5,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,6,fill,as,word_or_missing_letters,2026-01-21-a:reading:m1:q6,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,7,fill,move,word_or_missing_letters,2026-01-21-a:reading:m1:q7,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,8,fill,cover,word_or_missing_letters,2026-01-21-a:reading:m1:q8,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,9,fill,valleys,word_or_missing_letters,2026-01-21-a:reading:m1:q9,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,10,fill,living,word_or_missing_letters,2026-01-21-a:reading:m1:q10,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,11,fill,population,word_or_missing_letters,2026-01-21-a:reading:m1:q11,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,12,fill,this,word_or_missing_letters,2026-01-21-a:reading:m1:q12,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,13,fill,blue,word_or_missing_letters,2026-01-21-a:reading:m1:q13,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,14,fill,declined,word_or_missing_letters,2026-01-21-a:reading:m1:q14,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,15,fill,of,word_or_missing_letters,2026-01-21-a:reading:m1:q15,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,16,fill,loss,word_or_missing_letters,2026-01-21-a:reading:m1:q16,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,17,fill,illegal,word_or_missing_letters,2026-01-21-a:reading:m1:q17,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,18,fill,for,word_or_missing_letters,2026-01-21-a:reading:m1:q18,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,19,fill,abroad,word_or_missing_letters,2026-01-21-a:reading:m1:q19,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,20,fill,private,word_or_missing_letters,2026-01-21-a:reading:m1:q20,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,21,mc,A,option_key,2026-01-21-a:reading:m1:q21,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,22,mc,B,option_key,2026-01-21-a:reading:m1:q22,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,23,mc,D,option_key,2026-01-21-a:reading:m1:q23,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,24,mc,B,option_key,2026-01-21-a:reading:m1:q24,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,25,mc,B,option_key,2026-01-21-a:reading:m1:q25,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,26,mc,A,option_key,2026-01-21-a:reading:m1:q26,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,27,mc,D,option_key,2026-01-21-a:reading:m1:q27,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,28,mc,B,option_key,2026-01-21-a:reading:m1:q28,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,29,mc,A,option_key,2026-01-21-a:reading:m1:q29,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,30,mc,B,option_key,2026-01-21-a:reading:m1:q30,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,31,mc,D,option_key,2026-01-21-a:reading:m1:q31,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,32,mc,D,option_key,2026-01-21-a:reading:m1:q32,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,33,mc,C,option_key,2026-01-21-a:reading:m1:q33,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,False,answer_without_target
2026-01-21-a,2026-01-21 A卷,reading,m1,34,mc,A,option_key,2026-01-21-a:reading:m1:q34,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m1,35,mc,D,option_key,2026-01-21-a:reading:m1:q35,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m2,1,fill,pots,word_or_missing_letters,2026-01-21-a:reading:m2:q1,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m2,2,fill,shaped,word_or_missing_letters,2026-01-21-a:reading:m2:q2,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m2,3,fill,hand,word_or_missing_letters,2026-01-21-a:reading:m2:q3,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m2,4,fill,heated,word_or_missing_letters,2026-01-21-a:reading:m2:q4,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m2,5,fill,simple,word_or_missing_letters,2026-01-21-a:reading:m2:q5,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m2,6,fill,producing,word_or_missing_letters,2026-01-21-a:reading:m2:q6,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m2,7,fill,that,word_or_missing_letters,2026-01-21-a:reading:m2:q7,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
2026-01-21-a,2026-01-21 A卷,reading,m2,8,fill,longer,word_or_missing_letters,2026-01-21-a:reading:m2:q8,1.21新托福真题A卷/新托福真题01参考答案.pdf,123e64e47e08b47a346f73a2d2e077b10e7ba8290bc20a111b9a4ab6d2ad8be4,True,mapped
